name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch	status	status_description
A1	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A2	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A3	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A4	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A5	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A6	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A7	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A8	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A9	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A10	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A11	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A12	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A13	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A14	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A15	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A16	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A17	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A18	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A19	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A20	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A21	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A22	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A23	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A24	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A25	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A26	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A27	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A28	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A29	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A30	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A31	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A32	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A33	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A34	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A35	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A36	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A37	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A38	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A39	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A40	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A41	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A42	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A43	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A44	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A45	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A46	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A47	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A48	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A49	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A50	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A51	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A52	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A53	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A54	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A55	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A56	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A57	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A58	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A59	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A60	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A61	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A62	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A63	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A64	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B1	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B2	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B3	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B4	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B5	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B6	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B7	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B8	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B9	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B10	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B11	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B12	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B13	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B14	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B15	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B16	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
